code,name,description,refreshed_at,from_date,to_date
130874,Reliance Mutual Fund - Reliance Fixed Horizon Fund XXVII- Series 3- Growth Option,ISIN Div Payout/ ISIN Growth: INF204KA1SP6,2017-12-27 20:02:07,2016-08-30,2017-09-11
130875,Reliance Mutual Fund - Reliance Fixed Horizon Fund XXVII- Series 3- Direct Plan- Growth Option,ISIN Div Payout/ ISIN Growth: INF204KA1SR2,2017-12-27 20:02:07,2016-08-30,2017-09-11
130876,Reliance Mutual Fund - Reliance Fixed Horizon Fund XXVII- Series 3- Dividend Payout option,ISIN Div Payout/ ISIN Growth: INF204KA1SQ4,2017-12-27 20:02:07,2016-08-30,2017-09-11
130877,Reliance Mutual Fund - Reliance Fixed Horizon Fund XXVII- Series 3- Direct Plan- Dividend Payout Option,ISIN Div Payout/ ISIN Growth: INF204KA1SS0,2017-12-27 20:02:07,2016-08-30,2017-09-11
130878,Reliance Mutual Fund - Reliance Capital Builder Fund- Series B- Growth Option,ISIN Div Payout/ ISIN Growth: INF204KA1ST8,2017-12-27 20:01:35,2016-08-30,2017-09-01
130879,Reliance Mutual Fund - Reliance Capital Builder Fund- Series B- Direct Plan- Growth Opiton,ISIN Div Payout/ ISIN Growth: INF204KA1SV4,2017-12-27 20:01:35,2016-08-30,2017-09-01
130880,Reliance Mutual Fund - Reliance Capital Builder Fund- Series B- Direct Plan- Dividend Payout Option,ISIN Div Payout/ ISIN Growth: INF204KA1SW2,2017-12-27 20:01:35,2016-08-30,2017-09-01
130881,Reliance Mutual Fund - Reliance Capital Builder Fund- Series B- Dividend Payout Option,ISIN Div Payout/ ISIN Growth: INF204KA1SU6,2017-12-27 20:01:35,2016-08-30,2017-09-01
130882,Reliance Mutual Fund - Reliance Dual Advantage Fixed Tenure Fund VI- Plan B- Growth Option,ISIN Div Payout/ ISIN Growth: INF204KA1SX0,2017-12-27 20:02:04,2016-08-30,2017-09-08
130883,Reliance Mutual Fund - Reliance Dual Advantage Fixed Tenure Fund VI- Plan B- Dividend Payout Option,ISIN Div Payout/ ISIN Growth: INF204KA1SY8,2017-12-27 20:02:04,2016-08-30,2017-09-08
130884,Reliance Mutual Fund - Reliance Dual Advantage Fixed Tenure Fund VI- Plan B- Direct Plan- Growth Option,ISIN Div Payout/ ISIN Growth: INF204KA1SZ5,2017-12-27 20:02:04,2016-08-30,2017-09-08
130885,Reliance Mutual Fund - Reliance Dual Advantage Fixed Tenure Fund VI- Plan B- Direct Plan- DIvidend Payout Option,ISIN Div Payout/ ISIN Growth: INF204KA1TA6,2017-12-27 20:02:04,2016-08-30,2017-09-08
130886,Axis Mutual Fund - Axis Hybrid Fund - Series 14 - Direct Plan - Growth,ISIN Div Payout/ ISIN Growth: INF846K01QF1,2017-12-27 20:01:39,2016-08-30,2017-12-14
130887,Axis Mutual Fund - Axis Hybrid Fund - Series 14 - Direct Plan - Dividend,ISIN Div Payout/ ISIN Growth: INF846K01QG9,2017-12-27 20:01:39,2016-08-30,2017-12-14
130888,Axis Mutual Fund - Axis Hybrid Fund - Series 14 - Regular Plan - Growth,ISIN Div Payout/ ISIN Growth: INF846K01QH7,2017-12-27 20:01:39,2016-08-30,2017-12-14
130889,Axis Mutual Fund - Axis Hybrid Fund - Series 14 - Regular Plan - Dividend,ISIN Div Payout/ ISIN Growth: INF846K01QI5,2017-12-27 20:01:39,2016-08-30,2017-12-14
130890,Sundaram Mutual Fund - Sundaram Fixed Term Plan GJ Direct Plan Half Yearly Dividend Payout,ISIN Div Payout/ ISIN Growth: INF903J01Q24,2017-12-27 20:02:15,2016-08-30,2017-08-21
130891,Sundaram Mutual Fund - Sundaram Fixed Term Plan GJ Direct Plan Quarterly Dividend Payout,ISIN Div Payout/ ISIN Growth: INF903J01Q32,2017-12-27 20:02:15,2016-08-30,2017-08-21
130892,Sundaram Mutual Fund - Sundaram Fixed Term Plan GJ Regular Plan Growth,ISIN Div Payout/ ISIN Growth: INF903J01P82,2017-12-27 20:02:15,2016-08-30,2017-08-21
130893,Sundaram Mutual Fund - Sundaram Fixed Term Plan GJ Regular Plan Half Yearly Dividend Payout,ISIN Div Payout/ ISIN Growth: INF903J01P90,2017-12-27 20:02:15,2016-08-30,2017-08-21
130894,Sundaram Mutual Fund - Sundaram Fixed Term Plan GJ Regular Plan Quarterly Dividend Payout,ISIN Div Payout/ ISIN Growth: INF903J01Q08,2017-12-27 20:02:15,2016-08-30,2017-08-21
130895,Sundaram Mutual Fund - Sundaram Fixed Term Plan GJ Direct Plan Growth,ISIN Div Payout/ ISIN Growth: INF903J01Q16,2017-12-27 20:02:15,2016-08-30,2017-08-21
130897,ICICI Prudential Mutual Fund - ICICI Prudential Banking and PSU Debt Fund - Bonus,ISIN Div Payout/ ISIN Growth: INF109KA1B57,2018-10-03 11:00:53,2016-08-30,2018-10-01
130898,ICICI Prudential Mutual Fund - ICICI Prudential Equity Arbitrage Fund - Bonus,ISIN Div Payout/ ISIN Growth: INF109KA1C15,2018-10-03 11:01:26,2016-08-30,2017-01-17
130899,ICICI Prudential Mutual Fund - ICICI Prudential Floating Interest Fund - Bonus,ISIN Div Payout/ ISIN Growth: INF109KA1I43,2018-10-03 11:00:58,2016-08-30,2018-10-01
130900,ICICI Prudential Mutual Fund - ICICI Prudential Savings Fund - Bonus,ISIN Div Payout/ ISIN Growth: INF109KA1I92,2018-10-03 11:01:06,2016-08-30,2018-10-01
130901,ICICI Prudential Mutual Fund - ICICI Prudential Gilt Investment PF Option - Bonus,ISIN Div Payout/ ISIN Growth: INF109KA1C31,2018-10-03 11:01:24,2016-08-30,2018-05-25
130902,ICICI Prudential Mutual Fund - ICICI Prudential Short Term Gilt Fund - Bonus,ISIN Div Payout/ ISIN Growth: INF109KA1I68,2018-10-03 11:00:59,2015-05-12,2015-05-12
130903,ICICI Prudential Mutual Fund - ICICI Prudential Gilt Fund - Bonus,ISIN Div Payout/ ISIN Growth: INF109KA1H10,2018-10-03 11:00:59,2016-08-18,2016-08-18
130904,JM Financial Mutual Fund - JM Equity Hybrid Fund (Direct) - Annual Bonus Option,ISIN Div Payout/ ISIN Growth: INF192K01HB8,2018-10-03 11:01:25,2016-08-30,2018-10-01
130905,ICICI Prudential Mutual Fund - ICICI Prudential Gilt Treasury PF Option - Bonus,ISIN Div Payout/ ISIN Growth: INF109KA1C56,2018-10-03 11:01:24,2016-08-30,2018-05-25
130912,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Fixed Term Plan - Series LU (1104 days) - Direct Plan - Growth,ISIN Div Payout/ ISIN Growth: INF209KA1NI7,2017-12-27 20:01:38,2016-08-30,2017-08-28
130913,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Fixed Term Plan - Series LU (1104 days) - Regular Plan - Growth,ISIN Div Payout/ ISIN Growth: INF209KA1NF3,2017-12-27 20:01:38,2016-08-30,2017-08-28
