Exchange,Stock,Stock_Name,Sector,Market_Cap,Weight_per
ASX,3DP,Pointerra Limited,Information Technology,18272200,0.001
ASX,A2M,The a2 Milk Company,Consumer Staples,7508960000,0.352
ASX,AIY,Authorised Invest,,9744660,0
ASX,AIZ,Air New Zealand Foreign Exempt NZX,Industrials,3132740000,0.147
ASX,AJC,Acacia Coal Limited,Energy,2024450,0
ASX,AJD,Asia Pacific Data Stapled Securities,Real Estate,207575000,0.01
ASX,AJJ,Asian Amer Medical,Health Care,40530300,0.002
ASX,AJL,AJ Lucas Group,Industrials,277536000,0.013
ASX,AJM,Altura Mining Limited,Materials,427669000,0.02
ASX,AJQ,Armour Energy Limited,Energy,44150900,0.002
ASX,AJX,Alexium Int Group,Materials,46634900,0.002
ASX,AJY,Asaplus Resources Chess Depositary Interests 1:1,Materials,13600000,0.001
ASX,AKF,Ask Funding Limited,Financials,4115790,0
ASX,AKG,Academies Aus Group,Consumer Discretionary,53598100,0.003
ASX,AKM,Aspire Mining Limited,Materials,62591200,0.003
ASX,AKN,Auking Mining Limited,Materials,1865170,0
ASX,AKP,Audio Pixels Limited,Consumer Discretionary,334823000,0.016
ASX,AL8,Alderan Resource Limited,Materials,23337400,0.001
ASX,ALC,Alcidion Group Limited,Health Care,37866500,0.002
ASX,ALF,Australian Leaders,Financials,286150000,0.013
ASX,ALI,Argo Global Limited,Financials,273124000,0.013
ASX,ALK,Alkane Resources Limited,Materials,121463000,0.006
ASX,ALL,Aristocrat Leisure,Consumer Discretionary,18160200000,0.851
ASX,ALQ,Als Limited,Industrials,4384590000,0.205
ASX,ALT,Analytica Limited,Health Care,20022100,0.001
ASX,ALU,Altium Limited,Information Technology,3564660000,0.167
ASX,ALX,Atlas Arteria Ordinary Stapled Securities,Industrials,4769190000,0.223
ASX,ALY,Alchemy Resource Limited,Materials,7046710,0
ASX,AMA,AMA Group Limited,Consumer Discretionary,585728000,0.027
ASX,AMB,Ambition Group Limited,Industrials,7745050,0
ASX,AMC,Amcor Limited,Materials,15843400000,0.742
ASX,AMD,Arrow Minerals,Materials,5805270,0
ASX,AME,Alto Metals Limited,Materials,8972560,0
ASX,AMG,Ausmex Mining GP Limited,Materials,10881600,0.001
ASX,AMH,Amcil Limited,Financials,247179000,0.012
ASX,AMI,Aurelia Metals Limited,Materials,632092000,0.03
ASX,AML,Aeon Metals Limited,Materials,219739000,0.01
ASX,AMN,Agrimin Limited,Materials,133998000,0.006
ASX,AMO,Ambertech Limited,Information Technology,5656040,0
ASX,AMP,AMP Limited,Financials,9309920000,0.436
ASX,AMT,Allegra Orthopaedics,Health Care,20907400,0.001
ASX,ANG,Austin Engineering,Industrials,133132000,0.006
ASX,ANL,Amani Gold Limited,Materials,11280700,0.001
ASX,ANN,Ansell Limited,Health Care,3594440000,0.168
ASX,ANO,Advance Nanotek Limited,Materials,52803100,0.002
ASX,ANP,Antisense Therapeut,Health Care,6689140,0
ASX,ANQ,Anaeco Limited,Industrials,7976900,0
